,Ang. Edge East,Ang. Edge West,Ang. Plane FUPT,ConeRad1,ConeRad2,G:S,Ge,Gw,HeightEast,HeightWest,Latitude,Longitude,ObjID,Se,Site,Sw,WidthBB,WidthBF,WidthMF,WidthTB,WidthTF,aver. Width type,aver. Height,aver. Height type,aver. Width,cal. Lat. Edge East,cal. Lat. Edge West,cal. Lat. FUPT,opening Angle,opening Width
0,50.968,50.968,50.968,282.34,282.503,1 : 0.810709,334.784,335.435,unknown,unknown,unknown,unknown,285,271.413,unknown,271.94,unknown,unknown,586.283,589.549,590.568,calculated,unknown,unknown,588.8,39.032,39.032,39.032,34.4275,527.129
1,53.9096,53.9096,53.9096,167.738,167.74,1 : 0.728956,90.1504,82.8032,unknown,unknown,37.531,27.28,286,65.7156,Milet,60.3599,unknown,unknown,398.261,396.139,396.676,calculated,366.667,minimal,397.025,36.0904,36.0904,36.0904,26.87,319.081
2,51.4163,51.4163,51.4163,103.956,104.002,1 : 0.797824,127.35,128.745,228.779,229.18,37.4028,25.2676,126,101.602,Delos,102.716,224.675,225.549,226.239,227.129,228.277,calculated,228.98,calculated,226.374,38.5837,38.5837,38.5837,34.1947,184.346
3,53.9314,53.9314,53.9314,unknown,unknown,1 : 0.728373,124.42,133.728,195.826,196.484,unknown,unknown,127Frag,90.6245,unknown,97.404,193.741,195.985,195.263,193.691,196.454,calculated,196.155,calculated,195.027,36.0686,36.0686,36.0686,unknown,unknown
4,51.4909,51.4909,51.4909,unknown,unknown,1 : 0.795695,250.552,252.014,unknown,unknown,37.39,25.26,128,199.363,Delos,200.526,unknown,unknown,466.402,483.496,470.068,calculated,463.296,minimal,473.322,38.5091,38.5091,38.5091,27.5036,unknown
5,unknown,unknown,unknown,147.224,154.131,unknown,unknown,unknown,unknown,unknown,unknown,unknown,46,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,86.2587,minimal,unknown,unknown,unknown,unknown,9.56379,unknown
6,55.7468,55.7468,55.7468,unknown,unknown,1 : 0.680958,144.622,139.433,213.631,210.903,unknown,unknown,130Frag,98.4815,unknown,94.9479,231.385,224.974,230.19,236.701,227.565,calculated,212.267,calculated,230.163,34.2532,34.2532,34.2532,unknown,unknown
7,54.5245,unknown,54.5245,105.569,105.6,1 : 0.712648,unknown,unknown,unknown,unknown,37.39,25.26,131,unknown,Delos,unknown,unknown,unknown,unknown,unknown,unknown,estimated,123.006,minimal,235.502,35.4755,unknown,35.4755,32.6916,193.86
8,58.6013,58.6013,58.6013,121.416,121.617,1 : 0.610371,208.956,214.003,280.605,279.889,37.39,25.26,132,127.541,Delos,130.621,279.446,281.392,280.365,279.428,281.289,calculated,280.247,calculated,280.384,31.3987,31.3987,31.3987,20.0276,228.836
9,60.6653,60.6653,60.6653,159.788,159.805,1 : 0.56197,unknown,unknown,296.194,294.989,37.39,25.26,133,unknown,Delos,unknown,395.914,unknown,unknown,394.729,403.198,calculated,295.592,calculated,397.947,29.3347,29.3347,29.3347,30.3351,301.015
10,54.1825,54.1825,54.1825,110.392,110.846,1 : 0.721687,153.294,156.315,198.072,200.087,37.39,25.26,134,110.63,Delos,112.811,245.816,unknown,247.273,254.073,252.934,calculated,199.08,calculated,250.024,35.8175,35.8175,35.8175,31.0085,206.007
