,3d modell,Classification complete,Corpus Decoration,Corpus Shape Certainty,Corpus Shape ID,Corpus Shape Name,Dialface1 ID,Dialface1 Shape Certainty,Dialface1 Shape Method,Dialface1 Shape Name,Dialface1 Sundial Principal Certainty,Dialface1 Sundial Principal ID,Dialface1 Sundial Principal Name,Dialface1 Type Certainty,Dialface1 Type ID,Dialface1 Type Indicator Shared With DFs,Dialface1 Type Name,Dialface1 Type Surface Shared With DFs,Dialface1 markings,Dialface1 opensTo-ID,Dialface1 opensTo-name,Dialface1 shape ID,Dialface2 ID,Dialface2 Shape Certainty,Dialface2 Shape Method,Dialface2 Shape Name,Dialface2 Sundial Principal Certainty,Dialface2 Sundial Principal ID,Dialface2 Sundial Principal Name,Dialface2 Type Certainty,Dialface2 Type ID,Dialface2 Type Indicator Shared With DFs,Dialface2 Type Name,Dialface2 Type Surface Shared With DFs,Dialface2 markings,Dialface2 opensTo-ID,Dialface2 opensTo-name,Dialface2 shape ID,ObjID,Part of Collection,Photos,other Figures
0,yes,False,dekoClassiMissing,certain,42,[roofed] Skultpur,1,certain,analysis of 3d data,"inner surface of a part of a sphere, truncated by inclined front (through center)",certain,2,gnomon point - hole,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,4,inclined front;,6,,,,,,,,,,,,,,,,,1,yes,yes,unknown
1,yes,False,dekoClassiMissing,certain,47,bowl Delos (cut),2,certain,analysis of 3d data,"inner surface of a part of a sphere, truncated by inclined front (intersection smaller than a great circle, center contained) and top (through center)",certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,4,,,,,,,,,,,,,,,,,2,yes,yes,unknown
2,yes,False,dekoClassiMissing,certain,1,Box,3,certain,analysis of 3d data,"inner surface of a part of an ellipsoid - truncated by inclined front and top, such that both intersections are circular",certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,1,,,,,,,,,,,,,,,,,3,yes,yes,unknown
3,no,False,dekoClassiMissing,certain,1,Box,4,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,4,yes,no,yes
4,no,False,dekoClassiMissing,certain,1,Box,5,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,5,yes,no,yes
5,no,False,dekoClassiMissing,other,101,classification not available,6,,,classification not available,other,101,classification not available,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,101,classification not available,101,,,,,,,,,,,,,,,,,6,maybe,no,unknown
6,no,False,dekoClassiMissing,other,101,classification not available,7,,,classification not available,other,101,classification not available,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,101,classification not available,101,,,,,,,,,,,,,,,,,7,maybe,no,unknown
7,no,False,dekoClassiMissing,certain,1,Box,8,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,8,yes,no,yes
8,no,False,dekoClassiMissing,certain,1,Box,9,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,9,yes,no,yes
9,no,False,dekoClassiMissing,certain,1,Box,10,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,10,yes,no,yes
10,no,False,dekoClassiMissing,certain,1,Box,11,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,11,yes,no,yes
11,no,False,dekoClassiMissing,certain,1,Box,12,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,12,yes,no,yes
12,no,False,dekoClassiMissing,certain,1,Box,13,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,13,yes,no,yes
13,no,False,dekoClassiMissing,certain,1,Box,14,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,14,yes,no,yes
14,no,False,dekoClassiMissing,certain,1,Box,15,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,15,yes,no,yes
15,no,False,dekoClassiMissing,certain,1,Box,16,,,classification not available,certain,1,gnomon point - tip of gnomon,certain,1,[],dial with one indicator and one undivided surface,[],linesClassiMissing,1,inclined front; top;,101,,,,,,,,,,,,,,,,,16,yes,no,yes
